biogrid_id,entrez_a,entrez_b,gene_a,gene_b,in_glycolysis_a,in_glycolysis_b,interaction_pair
288629,5518,29966,PPP2R1A,STRN3,1,0,29966 :: 5518
288630,5518,5528,PPP2R1A,PPP2R5D,1,1,5518 :: 5528
288631,5518,5519,PPP2R1A,PPP2R1B,1,1,5518 :: 5519
288632,5518,29888,PPP2R1A,STRN4,1,0,29888 :: 5518
288633,5518,5527,PPP2R1A,PPP2R5C,1,0,5518 :: 5527
288634,5518,55844,PPP2R1A,PPP2R2D,1,0,5518 :: 55844
288635,5518,51400,PPP2R1A,PPME1,1,0,51400 :: 5518
288637,5518,5529,PPP2R1A,PPP2R5E,1,0,5518 :: 5529
288638,5518,8500,PPP2R1A,PPFIA1,1,0,5518 :: 8500
288639,5518,5525,PPP2R1A,PPP2R5A,1,0,5518 :: 5525
288641,5518,8499,PPP2R1A,PPFIA2,1,0,5518 :: 8499
288656,80143,5518,SIKE1,PPP2R1A,0,1,5518 :: 80143
288657,80143,5515,SIKE1,PPP2CA,0,1,5515 :: 80143
288669,8428,5515,STK24,PPP2CA,0,1,5515 :: 8428
288673,8428,5519,STK24,PPP2R1B,0,1,5519 :: 8428
288691,10494,5518,STK25,PPP2R1A,0,1,10494 :: 5518
288692,10494,5515,STK25,PPP2CA,0,1,10494 :: 5515
288696,10494,5519,STK25,PPP2R1B,0,1,10494 :: 5519
288710,6801,5519,STRN,PPP2R1B,0,1,5519 :: 6801
288752,80342,5518,TRAF3IP3,PPP2R1A,0,1,5518 :: 80342
288753,80342,5515,TRAF3IP3,PPP2CA,0,1,5515 :: 80342
288768,5516,5518,PPP2CB,PPP2R1A,1,1,5516 :: 5518
288769,5516,6801,PPP2CB,STRN,1,0,5516 :: 6801
288770,5516,85369,PPP2CB,STRIP1,1,0,5516 :: 85369
288771,5516,29888,PPP2CB,STRN4,1,0,29888 :: 5516
288772,5516,29966,PPP2CB,STRN3,1,0,29966 :: 5516
288773,5516,6950,PPP2CB,TCP1,1,0,5516 :: 6950
288774,5516,10576,PPP2CB,CCT2,1,0,10576 :: 5516
288775,5516,908,PPP2CB,CCT6A,1,0,5516 :: 908
288776,5516,55917,PPP2CB,CTTNBP2NL,1,0,5516 :: 55917
288777,5516,25843,PPP2CB,MOB4,1,0,25843 :: 5516
288778,5516,7203,PPP2CB,CCT3,1,0,5516 :: 7203
288779,5516,22948,PPP2CB,CCT5,1,0,22948 :: 5516
288781,5516,5520,PPP2CB,PPP2R2A,1,0,5516 :: 5520
288782,5516,10694,PPP2CB,CCT8,1,0,10694 :: 5516
288783,5516,10574,PPP2CB,CCT7,1,0,10574 :: 5516
288784,5516,10575,PPP2CB,CCT4,1,0,10575 :: 5516
288786,5516,5528,PPP2CB,PPP2R5D,1,1,5516 :: 5528
288787,5516,83992,PPP2CB,CTTNBP2,1,0,5516 :: 83992
288790,5522,5518,PPP2R2C,PPP2R1A,0,1,5518 :: 5522
288797,5522,5515,PPP2R2C,PPP2CA,0,1,5515 :: 5522
288798,5522,5519,PPP2R2C,PPP2R1B,0,1,5519 :: 5522
288801,5525,5519,PPP2R5A,PPP2R1B,0,1,5519 :: 5525
288864,261726,5516,TIPRL,PPP2CB,0,1,261726 :: 5516
297079,3717,5519,JAK2,PPP2R1B,0,1,3717 :: 5519
297168,5213,859,PFKM,CAV3,1,0,5213 :: 859
297588,5584,2597,PRKCI,GAPDH,0,1,2597 :: 5584
297912,5515,5580,PPP2CA,PRKCD,1,0,5515 :: 5580
299173,5515,596,PPP2CA,BCL2,1,0,5515 :: 596
302765,2274,5213,FHL2,PFKM,0,1,2274 :: 5213
302786,529,226,ATP6V1E1,ALDOA,0,1,226 :: 529
302787,529,229,ATP6V1E1,ALDOB,0,1,229 :: 529
302788,529,230,ATP6V1E1,ALDOC,0,1,230 :: 529
302789,5338,226,PLD2,ALDOA,0,1,226 :: 5338
304852,5519,5516,PPP2R1B,PPP2CB,1,1,5516 :: 5519
314978,1072,7167,CFL1,TPI1,0,1,1072 :: 7167
316214,2646,2645,GCKR,GCK,0,1,2645 :: 2646
316293,2597,6310,GAPDH,ATXN1,1,0,2597 :: 6310
316297,2597,64714,GAPDH,PDIA2,1,0,2597 :: 64714
317664,5528,5519,PPP2R5D,PPP2R1B,1,1,5519 :: 5528
317666,5527,5519,PPP2R5C,PPP2R1B,0,1,5519 :: 5527
317670,5526,5519,PPP2R5B,PPP2R1B,0,1,5519 :: 5526
317672,5529,5519,PPP2R5E,PPP2R1B,0,1,5519 :: 5529
318165,5515,6446,PPP2CA,SGK1,1,0,5515 :: 6446
320502,9146,5213,HGS,PFKM,0,1,5213 :: 9146
328382,84676,5315,TRIM63,PKM,0,1,5315 :: 84676
328383,84676,2027,TRIM63,ENO3,0,1,2027 :: 84676
330598,5747,2597,PTK2,GAPDH,0,1,2597 :: 5747
331050,10253,5515,SPRY2,PPP2CA,0,1,10253 :: 5515
331435,2821,54625,GPI,PARP14,1,0,2821 :: 54625
422921,9958,226,USP15,ALDOA,0,1,226 :: 9958
422922,114884,226,OSBPL10,ALDOA,0,1,114884 :: 226
423219,1762,5211,DMWD,PFKL,0,1,1762 :: 5211
423220,1762,5214,DMWD,PFKP,0,1,1762 :: 5214
423221,9958,5224,USP15,PGAM2,0,1,5224 :: 9958
423229,9960,5313,USP3,PKLR,0,1,5313 :: 9960
423230,10208,5313,USPL1,PKLR,0,1,10208 :: 5313
423250,7128,5519,TNFAIP3,PPP2R1B,0,1,5519 :: 7128
423251,54764,5519,ZRANB1,PPP2R1B,0,1,54764 :: 5519
423252,54532,5519,USP53,PPP2R1B,0,1,54532 :: 5519
425016,6881,5211,TAF10,PFKL,0,1,5211 :: 6881
425193,6884,5211,TAF13,PFKL,0,1,5211 :: 6884
427076,4292,5518,MLH1,PPP2R1A,0,1,4292 :: 5518
427102,5395,5515,PMS2,PPP2CA,0,1,5395 :: 5515
427169,5378,5518,PMS1,PPP2R1A,0,1,5378 :: 5518
436000,9636,2023,ISG15,ENO1,0,1,2023 :: 9636
437515,1956,226,EGFR,ALDOA,0,1,1956 :: 226
437536,1956,7167,EGFR,TPI1,0,1,1956 :: 7167
442412,29761,2597,USP25,GAPDH,0,1,2597 :: 29761
446003,60673,3098,ATG101,HK1,0,1,3098 :: 60673
446019,60673,5211,ATG101,PFKL,0,1,5211 :: 60673
446644,26100,5214,WIPI2,PFKP,0,1,26100 :: 5214
465413,84676,226,TRIM63,ALDOA,0,1,226 :: 84676
467664,8815,5315,BANF1,PKM,0,1,5315 :: 8815
468406,5607,2023,MAP2K5,ENO1,0,1,2023 :: 5607
480134,1026,2597,CDKN1A,GAPDH,0,1,1026 :: 2597
480140,2597,6418,GAPDH,SET,1,0,2597 :: 6418
480142,2597,891,GAPDH,CCNB1,1,0,2597 :: 891
480156,867,2597,CBL,GAPDH,0,1,2597 :: 867
481852,4255,5315,MGMT,PKM,0,1,4255 :: 5315
503884,5934,5515,RBL2,PPP2CA,0,1,5515 :: 5934
504660,5315,8925,PKM,HERC1,1,0,5315 :: 8925
504733,5710,226,PSMD4,ALDOA,0,1,226 :: 5710
505210,5515,51564,PPP2CA,HDAC7,1,0,51564 :: 5515
505213,9759,5515,HDAC4,PPP2CA,0,1,5515 :: 9759
505214,10014,5515,HDAC5,PPP2CA,0,1,10014 :: 5515
513628,2023,3065,ENO1,HDAC1,1,0,2023 :: 3065
554048,26173,5518,INTS1,PPP2R1A,0,1,26173 :: 5518
